method,pid_proxy,pedestal_bin,pileup_bin,n_pair_residuals,timing_sigma68_ns,ci_low,ci_high
trapezoid_template,low_dE_proxy,0,mild_pileup,90,2.391440474814349,2.023218125104904,2.5847137426532223
trapezoid_template,mid_dE_proxy,0,mild_pileup,297,2.550115286658232,2.0232181251049006,2.8310722493434533
ridge,low_dE_proxy,0,mild_pileup,90,1.6105701619768706,1.1259708659146064,2.0633078294972833
ridge,mid_dE_proxy,0,mild_pileup,297,1.544934367860498,1.387391886957026,1.641877363067307
gradient_boosted_trees,low_dE_proxy,0,mild_pileup,90,1.0246094875778289,0.9257379004280359,1.2711976816256723
gradient_boosted_trees,mid_dE_proxy,0,mild_pileup,297,1.368104096608882,1.184494954823736,1.5419356990083437
mlp,low_dE_proxy,0,mild_pileup,90,1.153040578181031,0.8918567787326381,1.1969873957604413
mlp,mid_dE_proxy,0,mild_pileup,297,1.5374887151705754,1.3259669944849368,1.7526071293509276
cnn_1d,low_dE_proxy,0,mild_pileup,90,1.0448915688991538,0.7530293996524806,1.2411702503104927
cnn_1d,mid_dE_proxy,0,mild_pileup,297,1.5748921033842338,1.34669381778804,1.6827005259582624
compact_waveform_transformer,low_dE_proxy,0,mild_pileup,90,1.0665104122888969,0.32347550988197327,1.2468148678573965
compact_waveform_transformer,mid_dE_proxy,0,mild_pileup,297,1.6547189256936372,1.4494699886015627,1.7877436467368033
phase_local_transformer_new,low_dE_proxy,0,mild_pileup,90,1.1746144724277048,0.2814850428283212,1.3742363861203195
phase_local_transformer_new,mid_dE_proxy,0,mild_pileup,297,1.6315715173415353,1.5239361822605133,1.737151868858606
shape_residual_fusion,low_dE_proxy,0,mild_pileup,90,0.9629769068339417,0.855903760366111,1.332532576288198
shape_residual_fusion,mid_dE_proxy,0,mild_pileup,297,1.358068324411743,1.2145884605326207,1.5078024774025627
