run,group,current_nA,events_total,events_with_selected,selected_pulses,multi_stave_events,three_stave_events,downstream_events
44,high_20nA,20.0,4294,1912,2038,90,29,116
45,high_20nA,20.0,48181,23013,24333,944,285,1147
46,low_2nA,2.0,1441,677,687,8,1,10
47,low_2nA,2.0,10970,5161,5276,83,23,125
48,high_20nA,20.0,31713,13185,14000,584,179,708
49,high_20nA,20.0,32354,13937,14815,623,202,770
50,high_20nA,20.0,44804,34257,35217,691,209,854
51,high_20nA,20.0,20569,14295,14740,308,103,400
52,high_20nA,20.0,10005,6933,7152,147,51,186
53,high_20nA,20.0,39612,31386,32200,567,188,727
54,high_20nA,20.0,37413,29665,30440,547,178,716
55,high_20nA,20.0,24416,16841,17387,379,124,479
56,high_20nA,20.0,51823,38932,40148,854,271,1050
57,high_20nA,20.0,31284,12939,13833,627,207,776
