heldout_run,model,score_column,flag_column,threshold,n_train,n_heldout,n_tail,n_parameters,average_precision,roc_auc,brier,ece,tail_capture_at_90_clean,clean_acceptance,flagged_fraction,C,learning_rate,hidden
58,traditional_scorecard,score_traditional_scorecard,flag_traditional_scorecard,0.3742365352581899,3747,73,17,0,0.2698412698412698,0.5892857142857143,0.18228075559740542,0.10408775438642585,1.0,0.17857142857142858,0.863013698630137,,,
58,ridge,score_ridge_C0.1,flag_ridge_C0.1,0.5198675496688743,3747,73,17,99,0.9552711599697576,0.9847689075630252,0.04022662420375622,0.05299812852391289,0.8823529411764706,0.9642857142857143,0.2328767123287671,0.1,,
58,ridge,score_ridge_C1,flag_ridge_C1,0.4158415841584158,3747,73,17,99,0.9689542483660131,0.9805672268907564,0.03715649895124642,0.05445692489353763,0.9411764705882353,0.9642857142857143,0.2465753424657534,1.0,,
58,ridge,score_ridge_C10,flag_ridge_C10,0.4431818181818182,3747,73,17,99,0.9598970810043475,0.9774159663865547,0.03698836326142813,0.05083557661901063,0.9411764705882353,0.9464285714285714,0.2602739726027397,10.0,,
58,gradient_boosted_trees,score_gradient_boosted_trees_learning_rate0.03,flag_gradient_boosted_trees_learning_rate0.03,0.30973451327433627,3747,73,17,99,0.9186145510835914,0.9747899159663865,0.06615300473237894,0.09503219761087527,0.9411764705882353,0.9285714285714286,0.273972602739726,,0.03,
58,gradient_boosted_trees,score_gradient_boosted_trees_learning_rate0.07,flag_gradient_boosted_trees_learning_rate0.07,0.013071895424836602,3747,73,17,99,0.7743080176061419,0.9506302521008403,0.0998890341542099,0.10651888722593096,1.0,0.8035714285714286,0.3835616438356164,,0.07,
58,mlp,score_mlp_hidden32,flag_mlp_hidden32,0.21428571428571427,3747,73,17,3233,0.9374999548039757,0.9784663865546219,0.05220609581555618,0.04348908610803593,0.9411764705882353,0.8928571428571429,0.3013698630136986,,,32.0
58,mlp,score_mlp_hidden64,flag_mlp_hidden64,0.225,3747,73,17,6465,0.9342406374807357,0.9763655462184874,0.05619956403778278,0.04722050326648801,0.9411764705882353,0.9107142857142857,0.2876712328767123,,,64.0
58,cnn1d,score_cnn1d,flag_cnn1d,0.4572522330923012,3747,73,17,1233,0.5140845070422535,0.8335084033613446,0.12958653072669601,0.03617038651753314,0.8823529411764706,0.7678571428571429,0.3835616438356164,,,
58,dilated_tcn,score_dilated_tcn,flag_dilated_tcn,0.4874855602618406,3747,73,17,2017,0.49851836448233733,0.8298319327731092,0.12161371194996823,0.02052353347319951,0.9411764705882353,0.7321428571428571,0.4246575342465753,,,
